variable,crown_node,crown_estimate,crown_variance,CI_low,CI_high
annual_mean_temperature,9622,207.9570275202698,16587.61932871794,-44.47711916595577,460.3911742064954
annual_precipitation,9622,1312.0111560899074,3425444.1816301155,-2315.5481291803208,4939.570441360136
maximum_temperature_warmest_month,9622,288.3788836348411,9407.168638123032,98.2773869542167,478.4803803154655
mean_temperature_coldest_quarter,9622,168.94756182348863,38579.22398015214,-216.0276930204461,553.9228166674234
mean_temperature_driest_quarter,9622,192.0602541023647,34823.42575118938,-173.69604777877737,557.8165559835068
minimum_temperature_coldest_month,9622,125.12608208453076,43912.077394626605,-285.59600950441404,535.8481736734756
precipitation_in_coldest_quarter,9622,268.34538578551354,527203.8035374739,-1154.7871209297114,1691.4778925007386
precipitation_of_coldest_quarter,9622,268.34538578551354,527203.8035374739,-1154.7871209297114,1691.4778925007386
precipitation_of_wettest_quarter,9622,581.199216557072,568061.3402528829,-896.0497281761692,2058.4481612903132
precipitation_wettest_month,9622,204.36800928940465,70580.24293424073,-316.3440620669056,725.0800806457149
temperature_annual_range,9622,163.25226530853718,38498.17382917994,-221.31838435440537,547.8229149714797
temperature_seasonality,9622,2638.8755176184586,35179790.17178779,-8986.38499232023,14264.136027557148
