species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Anhinga rufa,anhinga rufa,anhinga_rufa,0.03619671228951683,-0.1871168963340422,2.1790016261161075e-5,TRUE,TRUE,TRUE,50%
Spermestes fringilloides,spermestes fringilloides,spermestes_fringilloides,0.042277031056057957,-0.19016342695807695,4.7389665693231024e-5,TRUE,TRUE,TRUE,50%
Limosa haemastica,limosa haemastica,limosa_haemastica,0.04548210072675438,-0.18418315548223133,5.1247119867370376e-5,TRUE,TRUE,TRUE,50%
Coscoroba coscoroba,coscoroba coscoroba,coscoroba_coscoroba,0.04707994382023771,-0.1860858404739548,7.966241760708881e-5,TRUE,TRUE,TRUE,50%
Veniliornis kirkii,veniliornis kirkii,veniliornis_kirkii,0.04800160408903263,-0.18538435157550512,1.0006510731934467e-4,TRUE,TRUE,TRUE,50%
Geokichla camaronensis,geokichla camaronensis,geokichla_camaronensis,0.02959765359818608,-0.18339595352229657,1.7744083947750106e-4,TRUE,TRUE,TRUE,50%
Phylloscopus misoriensis,phylloscopus misoriensis,phylloscopus_misoriensis,0.04009568669601916,-0.19686258827459932,2.3592114043305732e-4,TRUE,TRUE,TRUE,50%
Thamnophilus cryptoleucus,thamnophilus cryptoleucus,thamnophilus_cryptoleucus,0.05212433040145641,-0.18853473719311895,2.5031554162069006e-4,TRUE,TRUE,TRUE,50%
Aramides saracura,aramides saracura,aramides_saracura,0.05180027225277403,-0.17801620176308477,3.1223313012763575e-4,TRUE,TRUE,TRUE,50%
Prunella fulvescens,prunella fulvescens,prunella_fulvescens,0.04382695566172299,-0.19896738596354005,3.7182492189970033e-4,TRUE,TRUE,TRUE,50%
Ortalis garrula,ortalis garrula,ortalis_garrula,0.050305648945993355,-0.19686113411206985,4.3107320597380287e-4,TRUE,TRUE,TRUE,50%
Xiphocolaptes promeropirhynchus,xiphocolaptes promeropirhynchus,xiphocolaptes_promeropirhynchus,0.02760881963129104,-0.17227758845590796,6.322919180936269e-4,TRUE,TRUE,TRUE,50%
Xipholena atropurpurea,xipholena atropurpurea,xipholena_atropurpurea,0.05545214525056943,-0.17201902482565626,6.865443263964089e-4,TRUE,TRUE,TRUE,50%
Brunhilda erythronotos,brunhilda erythronotos,brunhilda_erythronotos,0.0334569659495587,-0.20434078514127021,6.949785625840573e-4,TRUE,TRUE,TRUE,50%
Vanellus chilensis,vanellus chilensis,vanellus_chilensis,0.06158069155896081,-0.1813788251433954,7.278613543785369e-4,TRUE,TRUE,TRUE,50%
